,Unnamed: 0,Longitude,Latitude,Hour,Day,DoW,Month,isDay,Accident,District Name_Ciutat Vella,District Name_Eixample,District Name_Gràcia,District Name_Horta-Guinardó,District Name_Les Corts,District Name_Nou Barris,District Name_Sant Andreu,District Name_Sant Martí,District Name_Sants-Montjuïc,District Name_Sarrià-Sant Gervasi
55,55,2.172037,41.397542,13,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0
56,56,2.1612299999999998,41.386818,13,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0
57,57,2.141952,41.429154,14,3,1,1,1,1,0,0,0,1,0,0,0,0,0,0
58,58,2.124472,41.401621,14,3,1,1,1,1,0,0,0,0,0,0,0,0,0,1
59,59,2.214212,41.410092,14,3,1,1,1,1,0,0,0,0,0,0,0,1,0,0
60,60,2.159495,41.396524,15,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0
61,61,2.1731689999999997,41.401796999999995,15,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0
62,62,2.138764,41.385319,17,3,1,1,1,1,0,0,0,0,1,0,0,0,0,0
63,63,2.191441,41.404178,18,3,1,1,1,1,0,0,0,0,0,0,0,1,0,0
64,64,2.151664,41.382226,19,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0
65,65,2.151318,41.37634600000001,19,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0
66,66,2.135407,41.36982800000001,21,3,1,1,0,1,0,0,0,0,0,0,0,0,1,0
67,67,2.13025,41.375208,21,3,1,1,0,1,0,0,0,0,0,0,0,0,1,0
68,68,2.156193,41.382233,23,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0
69,69,2.1479209999999997,41.380962,8,4,2,1,1,1,0,1,0,0,0,0,0,0,0,0
70,70,2.1678189999999997,41.437340999999996,8,4,2,1,1,1,0,0,0,0,0,1,0,0,0,0
71,71,2.170289,41.379488,10,4,2,1,1,1,1,0,0,0,0,0,0,0,0,0
72,72,2.157353,41.3899,10,4,2,1,1,1,0,1,0,0,0,0,0,0,0,0
73,73,2.164111,41.395009,10,4,2,1,1,1,0,1,0,0,0,0,0,0,0,0
74,74,2.1958599999999997,41.399582,11,4,2,1,1,1,0,0,0,0,0,0,0,1,0,0
75,75,2.188536,41.446756,12,4,2,1,1,1,0,0,0,0,0,0,1,0,0,0
76,76,2.1604,41.400815,12,4,2,1,1,1,0,0,1,0,0,0,0,0,0,0
77,77,2.135002,41.39024600000001,13,4,2,1,1,1,0,0,0,0,1,0,0,0,0,0
78,78,2.169896,41.390642,13,4,2,1,1,1,0,1,0,0,0,0,0,0,0,0
79,79,2.138671,41.332974,14,4,2,1,1,1,0,0,0,0,0,0,0,0,1,0
80,80,2.1326080000000003,41.389624,14,4,2,1,1,1,0,0,0,0,1,0,0,0,0,0
81,81,2.150545,41.383078999999995,14,4,2,1,1,1,0,1,0,0,0,0,0,0,0,0
82,82,2.199239,41.419635,14,4,2,1,1,1,0,0,0,0,0,0,0,1,0,0
83,83,2.157335,41.38818,14,4,2,1,1,1,0,1,0,0,0,0,0,0,0,0
84,84,2.13373,41.380615,14,4,2,1,1,1,0,0,0,0,0,0,0,0,1,0
85,85,2.1950220000000003,41.393966999999996,15,4,2,1,1,1,0,0,0,0,0,0,0,1,0,0
86,86,2.157334,41.384783,15,4,2,1,1,1,0,1,0,0,0,0,0,0,0,0
87,87,2.1326080000000003,41.389624,15,4,2,1,1,1,0,0,0,0,1,0,0,0,0,0
88,88,2.1491599999999997,41.408495,16,4,2,1,1,1,0,0,1,0,0,0,0,0,0,0
89,89,2.174028,41.371515,17,4,2,1,1,1,0,0,0,0,0,0,0,0,1,0
90,90,2.134273,41.39066,17,4,2,1,1,1,0,0,0,0,1,0,0,0,0,0
91,91,2.134697,41.371361,19,4,2,1,1,1,0,0,0,0,0,0,0,0,1,0
92,92,2.108666,41.391698,19,4,2,1,1,1,0,0,0,0,0,0,0,0,0,1
93,93,2.156804,41.40319,21,4,2,1,0,1,0,0,1,0,0,0,0,0,0,0
94,94,2.130464,41.375494,21,4,2,1,0,1,0,0,0,0,0,0,0,0,1,0
95,95,2.160658,41.429621999999995,22,4,2,1,0,1,0,0,0,1,0,0,0,0,0,0
96,96,2.136344,41.403240000000004,22,4,2,1,0,1,0,0,0,0,0,0,0,0,0,1
